Sensor 0,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Healthy
48807300,31976580,49894176,31929842,41795920,37299944,40441840,41876040,0
38280372,24833650,37331816,31929842,31721200,28718668,40441840,32743442,0
27386544,24833650,26219644,24444610,21431000,19656868,30957014,22014108,0
102400000,64188052,102041264,62985104,82487096,75698528,79630616,87091032,0
94228616,55822828,88592088,62985104,82487096,66131180,69112576,74855512,0
83035792,49109028,76360032,47784176,62579136,58671440,59877568,64093888,0
6297905,4818823.5,5421575,4714820,5214513,5820248.5,5622512,6003664.5,0
4262227,3265696.75,3644938.75,3139900.25,3543252.5,3994149.25,3872370.5,4152052.75,0
2589946.25,2019226,2215850.75,1913124.75,2158061,2443914,2388338.25,2627325.25,0
40592132,27420920,33912548,26266934,30957014,30825964,31177926,33292354,0
27611544,17959990,23206798,17332980,20680340,21120206,31177926,23084184,0
18602328,11894011,15600095,11373829,13779647,14349901,14767012,15655996,0
102400000,72435480,102400000,70849728,86487624,75112896,80585304,82487096,0
53140888,31859990,51511888,70849728,43719812,38013920,80585304,43939660,0
20072282,31859990,18492100,34528976,15906796,14473498,50558148,43939660,0
21222798,12574060,19745706,12134049,14989936,12610352,14045435,14707361,0
18244988,10673616,16903792,10359785,12893173,10940902,7744741,12817524,0
11361997,6465667,9732106,6083921.5,7878817,7156147.5,340878.8438,8253904.5,0
3406237,2032754.375,3223293.25,1992702.5,2459321.5,2353346.75,2612245,2814153.25,0
2052618.375,1255671.375,3223293.25,1992702.5,2459321.5,1429169.625,2612245,1742237.375,0
1368984,1255671.375,1964037.375,1206835.625,1518443,960600.375,1662675,1742237.375,0
2873377.75,1804405.25,2785447.25,1878899.125,2329258,2000000,2244998.75,2187450,0
1662675,1028628.813,1634803.375,1878899.125,1316195.375,1166619.25,2244998.75,1288860.875,0
842625,527835.0625,833367.25,1078178.5,666449.75,1166619.25,1309881.625,689330.1875,0
5140885,3229010.75,4874739.5,3356001.75,4080697.5,3640080,4056449.5,4056449.5,0
3427615,2114610.25,3250148.75,2212260.25,2668404,2390429,2697398.75,2622279.25,0
2248696.25,1389888,105785.125,1500916.125,1759072.375,1602190.5,1796097.375,1745578.5,0
30481860,18729922,28072820,19551312,24417288,19498958,22700382,22962860,0
21018602,13133467,19292316,13693272,16371721,13849535,15723608,16249938,0
6761865.5,4139464.5,6488713,4534735.5,5290281,4557441,5746755.5,5509078.5,0
62985104,37588760,53011932,41165828,44612660,43372600,41876040,44431188,0
41049796,24989896,33912548,26815058,29198486,28438272,28090870,30083084,0
17088918,10224025,13955707,10489117,11972232,11690332,12595810,12832583,0
3880625.25,2390429,3872370.5,2504433,3189410.25,2502138,2951008.75,2979992.75,0
2668404,1687332.625,2607256.5,1764756.625,2141139.5,1806793.125,2069732.25,2065036.5,0
1713807.5,1069731,1668771.625,1122499.375,1348699.375,1168616.25,1320012.875,1339437.5,0
32307616,18859280,23582584,20544200,21202200,22536452,20183554,21018602,0
21816246,12969721,16070623,14182212,14511957,15380427,13893576,14638374,0
14145478,8511169,10611399,9107282,9301164,9953827,9145409,9612203,0
18810562,11665361,14747075,12256592,13204916,12595810,12388658,12735328,0
11972232,7588698.5,9810778,8082881,8598268,8285208.5,8380562.5,8701009,0
6138628.5,3823570.5,5041231,4053439,4187068.75,4245659.5,4413793,4478950,0
48998880,29755278,36890516,31883240,34018168,34665960,32451596,34971184,0
33343170,20448050,36890516,31883240,22700382,23582584,22193024,23557154,0
21099806,13228906,16274149,14081650,14599243,15251571,14717269,15500473,0
13770960,8673372,10810953,8841878,9908679,9381048,9389112,9503480,0
9340935,6053574.5,7428701,4059464.75,6820982.5,6622473.5,6543131,6842347,0
6283413,3997072.5,4972382.5,2063438.924,4534735.5,4478950,4420939,4542279,0
25575024,15103941,18367714,16532795,17169504,17655172,16249938,17115696,0
16470470,9962907,12438034,10940902,11096512,11690332,11198906,11652916,0
9810778,6226107,7701057.5,6753503.5,6924767.5,7388500.5,7031759.5,7398510,0
102400000,87091032,102400000,89867672,101685024,95255816,98365480,102400000,0
102400000,66231432,90519336,68195632,75698528,71254144,98365480,76897624,0
53108588,32307616,38347572,30291658,38047024,37046920,39960976,40592132,0
10409149,6222560,9222629,6240335,7695632,6712003.5,7151462,7393502,0
8316751.5,4879094.5,7142110,4931968.5,5953488.5,5378857.5,5537005.5,5783268.5,0
5895646,3404113.75,5008866,3611196.75,4235781,3919617.25,3930902,4139464.5,0
102400000,88412816,102400000,92827192,102280144,97162344,95988280,102400000,0
102400000,65634452,85472448,69003424,74156720,72017584,71022488,75567600,0
75502304,45072904,59470056,48563172,51633640,51180008,50325208,53238016,0
28456796,17989570,21664794,19925814,20641260,19586372,18826774,20448050,0
19360710,12473544,14589492,12742757,13684694,13831997,13165127,13391091,0
11842429,7631113,9168439,7941832.5,8354921,8551148,8393443,8584752,0
34044676,25939442,29714804,25133652,28985404,31379458,29714804,32023454,1
26765774,19962230,21794480,18063948,22420800,24499440,22583046,25133652,1
17169504,13293306,29714804,11715409,22420800,24499440,22583046,16237859,1
49582752,33651348,47679884,32817226,39742876,36459528,38755764,40705592,1
35802240,24444610,34611036,32817226,28756472,26964000,38755764,29755278,1
23305832,15883665,22629834,14979657,18570700,17374338,18810562,19727874,1
35598044,27911414,33833764,25177104,31022958,29514074,30312674,31790444,1
21120206,16735444,33833764,25177104,31022958,18476458,30312674,18367714,1
21120206,16735444,17698082,15434762,17388166,18476458,17402018,18367714,1
4044433.5,3913999,2776949.25,3711826,3802274.25,5027309,3755214.25,4258903,1
2276820.5,2305657.25,1533795.125,3711826,2182205.75,2922583,2151260.5,2437369.75,1
1129931,1128063.875,1533795.125,2122829.75,1064725.75,1461291.5,1085033.125,1197310.75,1
6492570,4731158,5593718,4611314.5,5214513,5290281,5389473.5,5520215.5,1
4357447,3076229.75,5593718,4611314.5,5214513,3585120.25,3760385.5,3810232.5,1
1611646.625,1068893.5,1441238.625,1027081.25,1352708,1385656.25,1669792.125,1666734.5,1
84544.25,76509.26563,128096.0703,73289.4375,100490.6797,86340.64063,104617.8984,99610.89844,1
71508.38281,62000.48438,101809.5078,59286.70703,78263.53125,69189.1875,83387.625,78479.46094,1
71508.38281,51738.07422,80553.80469,48613.75,64096.14453,57142.85547,68303.09375,64826.53906,1
2201558.75,1439718.75,2681505.75,1514232.875,2019226,1731191.875,1898493.625,1877607.125,1
